,Book Title,Book Link,Book Author,Book Review,Book Type
21,Swan Song,https://www.amazon.co.uk/dp/1786331055?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Kelleigh Greenberg-Jephcott,"Everybody loves a bit of gossip and Truman Capote, society figure and famous writer, uses it brazenly for his work. His inner circle of friends, the Swans, who tell him all their secrets, are shocked by his published indiscretions. Glitz and glamour and names like Lee Radziwill, Lauren Bacall and Gloria Vanderbilt play a significant role in this tale. And a special one is saved for the unfaithful husbands. I enjoyed it shamelessly.",Very Gentle
22,Various Pets Alive and Dead,https://www.amazon.co.uk/dp/0141044942?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Marina Lewycka,"This is a very funny book about family and ethics.  Amid the global financial crisis, Doro sets out to tell her grown up children some good news.  But each is preoccupied with a crisis of their own: Serge, putting their commune childhood behind him, is making good money in banking but can't face telling Doro.  Oolie-Anna wants to leave home.  And Clara, teaching in a difficult school, has to confront past demons in the form of a class hamster.",Very Gentle
23,Disobedience,https://www.amazon.co.uk/dp/0141025956?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Naomi Alderman,"A very accessible insight into Jewish Orthodox culture in Britain.  Ronit, the Rabbi's daughter returns home from New York following her father's death and experiences conflicting emotions as she is caught between her secular lifestyle and the religious community of her childhood.  An interesting, intriguing and informative read.",Very Gentle
24,Easter Island,https://www.amazon.co.uk/dp/0349117950?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Jennifer Vanderbes,"What is the mystery of the moai of Easter Island and why do they call to intrepid travellers?  Elsa and Greer both search for answers in different decades but at what cost?  It is a fascinating voyage for the reader as the author skilfully concocts a mixture of archaeology, anthropology, botany and travelogue adding a pinch of romance, betrayal and sacrifice. Like drinking a Pisco Sour - tangy and surprising.  ",Very Gentle
0,Standing in the Rainbow,https://www.amazon.co.uk/dp/0099448939?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Fannie Flagg,"This is the story of the residents of Elmwood Springs, Missouri.  It's the story of a close community living through a period of great change.  A gentle, humorous tale which is well observed and very enjoyable.  Will appeal to fans of Anne Tyler.",Definitely Gentle
1,City of Light,https://www.amazon.co.uk/dp/0385337647?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Lauren Belfer,"The might and power of nature in the shape of Niagara Falls permeates this story.  Although man battles to use and control the power of the Falls, it is that very power that affects and changes the lives of each of the characters in the book.




",Definitely Gentle
2,Sex and Vanity,https://www.amazon.co.uk/dp/1786332272?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Kevin Kwan,"A romping homage to E.M. Forster’s ‘A Room with a View’, this book pokes fun at the impossibly wealthy, whilst peeling away the layers of elitism and racism in a world far beyond the imaginings of most readers.  Loaded with ridiculous opulence, and name-drops galore (with footnotes to explain them in some cases), it’s easy beach reading that left me hankering for a re-watch of the old Merchant Ivory film.",Definitely Gentle
3,Getting Over Edgar,https://www.amazon.co.uk/dp/B01LP73DU0?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Joan Barfoot,"I really enjoyed this book and found it very funny.  These are ordinary but real people and the author really makes you care about what happens to them.  Optimistic and uplifting, but very down-to-earth.



",Definitely Gentle
4,Conscious and Verbal,https://www.amazon.co.uk/dp/1857544536?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Les Murray,"Les Murray is Australia's national poet, a non-conformist who writes about the Australian landscape, its heat and dust, its animals, its redneck farmers, and his personal memories of family and childhood in the outback.  These poems take you on an emotional roller coaster ride that is humorous, colourful and achingly touching. 



",Definitely Gentle
5,Days of the Bagnold Summer,https://www.amazon.co.uk/dp/0224090844?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Joff Winterhart,"This graphic novel tells the story of 15-year old Daniel and his single mum Sue and follows their day-to-day existence during one long summer school holiday spent at home. The sharply observed dialogue and hugely expressive drawings made me smile with recognition as well as cringing at the awkward things both adults and teenagers say and do. A poignant, perceptive read.<br /><br /><br />",Definitely Gentle
6,Pub Walks in Underhill Country,https://www.amazon.co.uk/dp/014104568X?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Nat Segnit,"Although it looks like a guide to local rambles this is actually a very unusual, amusing novel.  Graham Underhill is, on the surface, a relentlessly positive, avid walker married to a young, beautiful Bengali wife.  Blind to her infidelities, or so it seems, he leads us through a series of 15 walks.  At first Graham's voice feels pompous and pedantic but as more of his personal life creeps into the narrative the book becomes much more enjoyable.",Definitely Gentle
7,In the Pond,https://www.amazon.co.uk/dp/B01LVUOCOI?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Ha Jin,"Shao Bin is a small fish in a big pond.  You'll share his sense of injustice - an ordinary man fighting the petty jealousies of the Party bosses.  Bin's satirical cartoons cause the conflict which escalates in a series of surprising and amusing events.  This is an interesting example of Communism at work showing just how different Chinese society is.  The ending might be a little over sweet, but it definitely proves that the pen is mightier than the sword.



",Definitely Gentle
8,Niagara Falls All Over Again,https://www.amazon.co.uk/dp/0224062395?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Elizabeth McCracken,"Vaudeville.  Hollywood.  Razzmatazz.  You will love going on the road with Carter and Sharp.  This is a book about love: the love of a brother for his sister, of a son for his father, of a man for his wife, of a straight man for his comic.   It's about a life hanging together as it falls apart.  It's a toast to life.

",Definitely Gentle
9,The Alphonse Courrier Affair,https://www.amazon.co.uk/dp/1860469442?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Marta Morazzoni,"The short chapters and intriguing secrets may tempt you to race through.  Slow down as this is a book to savour - sensuous and rich yet surprisingly sharp and cynical.  You'll never think of village life in the same way again.
",Definitely Gentle
10,Tommy's Tale,https://www.amazon.co.uk/dp/0060394447?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Alan Cumming,"Tommy's life is a round of parties, drugs, alcohol and sex.  In his twenty-ninth year he reaches a crisis point - he decides he wants to become a father ...  But does he really want to give up his lifestyle and become responsible and respectable?  A lighthearted look at a young man's reluctance to grow up - think Men Behaving Badly meets Game On meets Gimme, Gimme, Gimme!  Great fun.
",Definitely Gentle
11,Doppler,https://www.amazon.co.uk/dp/B00AING4KY?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Erlend Loe,This lovely story of man and elk had me charmed right from the start.  Doppler may be well endowed in the lower regions but his head is full of thought.,Definitely Gentle
12,The Pages,https://www.amazon.co.uk/dp/B013RODAOS?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Murray Bail,I loved this little book and savoured every paragraph - it seemed to be written especially for me.  But be warned it isn't an easy read - though it is compelling - and I never knew where the story was going next.,Definitely Gentle
13,This Book Will Save Your Life,https://www.amazon.co.uk/dp/B008RKEYPM?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,A M Homes,"A medical emergency forces wealthy loner, Richard Novak, to reconnect with the outside world. He is assisted along the way by a bizarre range of characters from a maker of perfect doughnuts to the son he never knew. A gentle satire on the neurotic, macrobiotic, wheat-free world where nobody walks if they can afford gym membership - this book is funny, warm, and wise.",Definitely Gentle
14,One More Stop,https://www.amazon.co.uk/dp/B01K30ZITO?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Lois Walden,"Loli is travelling the States, successfully stimulating disaffected school children into producing creative writing. She has been somewhat less successful over the years in coming to terms with her own personal relationships with her parents and often absent lover Simone.  A first person narrative in which I initially had to adjust to the explicit sexual references but I became very absorbed and as keen as Loli to make sense of her troubled life.",Definitely Gentle
15,The Half-Known Life,https://www.amazon.co.uk/dp/B01HC0M13Y?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Simonetta Wenkert,"I quickly became absorbed by the story of Lorna and Celia - which grew into the even more powerful tale of Sappho.  Although a little confusing at first, this was such a moving and fascinating story which was really brought to life by its evocative settings.",Definitely Gentle
16,Silence and Shadows,https://www.amazon.co.uk/dp/B07F9QRVW1?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,James Long,"Full of great characters - Patrick Kane, leader of the archaeological dig, haunted by his past;  beautiful Bobby who is a constant reminder of Patrick's former wife;  unscrupulous local businessman, Roger Little, who scuppers the original dig;  CD, an American with a pet raven called Edgar;  Dozer, a former Hell's Angel and finally,  Bobby's brother, Joe, whose magical song about a German Queen leads them to the place of her burial.  I began reading this book rather reluctantly but found myself pleasantly surprised and quickly drawn into the lives of these characters.
",Definitely Gentle
17,The Family Orchard,https://www.amazon.co.uk/dp/0375724575?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Nomi Eve,"This book is about liaisons and relationships - sexual, familial and the linking of the grand tradition of story-telling with age-old Jewish tradition and family trees, and the work to cultivate the citrus trees in the family orchards of Lebanon/Israel.  This is not a dull book - the characters, full of life and lust, live through the story-teller.",Definitely Gentle
18,The Amateur Marriage,https://www.amazon.co.uk/dp/0099469596?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Anne Tyler,"The story of a marriage, from wartime courtship, arguments and children, to later years.  I found it an absolute joy to read and felt completely pulled into the writing.  Everything else fell away as I became immersed in the lives of Pauline and Michael.  Enjoy the ending.<br />
",Definitely Gentle
19,"Where'd You Go, Bernadette?",https://www.amazon.co.uk/dp/178022124X?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Maria Semple,"Although this is written through emails and diary entries and notes, don't let that put you off.  Cleverly handled, with such wit and charm, you quite forget that you're reading a story and feel immersed in the lives of these characters.  I read quickly, completely addicted, desperate to know what would become of wonderful Bernadette.  Sharply observed and beautifully moving - a completely satisfying read!",Definitely Gentle
20,The Great Perhaps,https://www.amazon.co.uk/dp/B004PYDBR6?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Joe Meno,"Set against the run-up to the 2004 US presidential election, this feels like a typical family saga given a wacky make-over. Surrealistic overtones to the usual scenario of dysfunctional parents/rebellious children took me aback at first, then made me smile. But all these disparate threads finally came together, interwoven with the grandfather's moving story, to give me an unexpected emotional fix. Just don't expect the Waltons ! <br />
",Definitely Gentle
21,A Date With My Wife,https://www.amazon.co.uk/dp/1841951404?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Brian McCabe,"Don't miss this collection of short stories about those poor creatures, men.  (That's not to suggest that all men are poor creatures, but that this lot certainly are.)  Some stories are sad, some funny and some made me cringe with embarrassment.  Most mix all of these emotions.  My favourite features Dougie who's in for a culture shock as he ventures over to France for a school exchange and Antoine, his annoying counterpart.  Then there's the priest who gets a shock when he makes his regular trip to the massage parlour.  Enjoy!
",Definitely Gentle
22,"Alys, Always",https://www.amazon.co.uk/dp/1780220014?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Harriet Lane,"Is our unreliable narrator simply a sly, deluded social climber or a creepily unhinged stalker? The subtle slow reveal will keep you guessing to the end. A must-read for lovers of psychological suspense novels, with some delicious social satire thrown in.",Definitely Gentle
23,The Oxford Murders,https://www.amazon.co.uk/dp/0349117233?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Guillermo Martinez,"This is a deceptively easy page-turner, but more challenging than it first seems. The intriguing links between mathematics, magic and crime-solving make for a tongue-in-cheek take on the traditional cosy English murder mystery. What's more, the reader can enjoy the added bonus of painlessly absorbing some interesting philosophical concepts along the way.",Definitely Gentle
24,Behaving like Adults,https://www.amazon.co.uk/dp/1784756415?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Anna Maxted,"This frothy and funny story of a dating agency reveals the dark as well as the light side of the London singles scene.  But don't worry, it will all end happily - won't it?
",Definitely Gentle
0,Undiscovered Country,https://www.amazon.co.uk/dp/0140266399?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Christina Koning,"Set in Venezuela's expatriate community in the 1950s, this is a vivid portrait of a distant, pampered world as seen through the eyes of an eleven-year old girl.  It's a world which revolves round cocktail parties, casual affairs and malicious gossip, but the presence of a Dutch couple, refugees from a terrible war in Europe, merely serves to emphasise the emptiness of the community's existence.  Written with great poignancy, this is a powerful evocation of how it must have felt to be a young British girl growing up in an alien, tropical environment on the fringes of a barely understood adult world.<br />
",Fairly Gentle
1,The Little Giant of Aberdeen County,https://www.amazon.co.uk/dp/0340919280?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Tiffany Baker,"A touching story of life in a small, American town.  The Plaice sisters are as far apart in looks as they are in personality.  Whilst Serena is popular and beautiful (and knows it), Truly is large, manly but kind.  Truly has an illness - a ticking bomb inside her.  But not for one minute does she feel sorry for herself.  Her compassion for those around her, even those who have treated her so cruelly in the past is admirable.  Never have I wanted a character in a book to have a happy ending more.  I won't spoil it for you ....",Fairly Gentle
2,The Ambitious Stepmother,https://www.amazon.co.uk/dp/B01K2K45XK?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Fidelis Morgan,"An entertaining historical whodunnit following the adventures of Countess Ashby de la Zouche and her maid Alpiew.  This is the third tale about the pair and it's an amusing and readable murder mystery, without the angst of so many other crime novels.
",Fairly Gentle
3,Fred and Edie,https://www.amazon.co.uk/dp/0340936282?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Jill Dawson,"Reads like a good thriller but also a love story. However, it offers much more than most thrillers or romances, not least because Edie is so honest about her life and feelings, and because of the ending: which still shocks even though Edith Thompson's fate is known.






",Fairly Gentle
4,Depth of Field,https://www.amazon.co.uk/dp/1899235825?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Sue Hubbard,"An account of Hannah, as she attempts to find herself.  Her marriage has failed and she moves from the country to the East End of London in search of her Jewish roots, and through her passion for photography she attempts to make sense of her life.  A somewhat uncomfortable novel highlighting the richness and variety of the world whilst painting the bleak business of living in it.
",Fairly Gentle
5,Sum: Forty Tales from the Afterlives,https://www.amazon.co.uk/dp/1847674275?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,David Eagleman,"Have you ever wondered what an afterlife could be like?   Well, here are 40 possible answers.   Confused?   You will be!   Entertained?   Definitely!   Forced to think?   Without a doubt!   Will you reach any conclusions?   Probably not.   But what the hell (excuse the pun), enjoy the ride.",Fairly Gentle
6,The Bad Mother's Handbook,https://www.amazon.co.uk/dp/B008VS8MR6?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Kate Long,"The story gives an insight into three generations: daughter, mother and grandmother; and the complexities, frustrations, strains and powerful love of a family relationship.  These become more strained with an unwanted pregnancy and senile dememtia.  It's easy to feel sorry for Karen and her life.  A down to earth read which is both funny and sad and heightens emotions.  It's been nice to read a book with a happy ending. 



",Fairly Gentle
7,The Outing,https://www.amazon.co.uk/dp/1903650356?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Audrey Corr,"If you want a light-hearted, amusing and undemanding holiday read, try this.  A little on the predictable side, with everything going wrong that could go wrong, but still enjoyable.
",Fairly Gentle
8,Snowleg,https://www.amazon.co.uk/dp/0099466090?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Nicholas Shakespeare,"Peter believes he is a normal teenager, until his mother reveals that his father is actually an East German man whose name she hardly knew, and he begins to search for him.  While in Leipzig he meets a girl.  Romantic, disturbingly frank and yet endearing this is a great read,  I was enthralled from beginning to end, desperate to know if Peter can find his father, the girl and himself.
",Fairly Gentle
9,Old Baggage,https://www.amazon.co.uk/dp/1784161217?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Lissa Evans,"The Women's Suffrage Campaign has been successful and Mattie's militant past has been to some avail. Yet not all women have the vote and the next generation don't seem to care. Mattie intends to change all that.<br /><br />Mattie is a loveable character and I engaged with her right from the start. In parts inspiring and in parts heartbreaking, I'm already recommending this book to all my friends.",Fairly Gentle
10,A Blessed Child,https://www.amazon.co.uk/dp/0330447874?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Linn Ullmann,"Half sisters Erika, Laura and Molly spent every summer with their father on the Swedish island Hammarso, until one summer something terrible happened.  Strands of childhood innocence and childish cruelty pull against one another, but the writing is so beautiful that even a blow reads like a kiss.",Fairly Gentle
11,The Taxi Driver's Daughter,https://www.amazon.co.uk/dp/0141012617?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Julia Darling,"Be prepared to read this book in one sitting.  Once I had started I didn't want to stop.  Don't be put off by the cover, the significance of the shoes is quickly revealed.



",Fairly Gentle
12,Sound Barrier: Poems 1982-2002,https://www.amazon.co.uk/dp/1852245786?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Maura Dooley,"These are tender, lyrical, reflective poems about love, memory and life in the country and the city.  Highly recommended to any poetry novice.
",Fairly Gentle
13,Swallowing Mercury,https://www.amazon.co.uk/dp/1846276098?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Wioletta Greg,"Swallowing Mercury is as close to a family photo album in words as you are likely to get. Each chapter tells a story, one viewed through the eyes of Wiola, a young Catholic girl brought up in rural Poland during the 70s and 80s. Even though there is more than a hint of the significant changes going on in Polish society, the child's eye is never lost and always at the centre of the stories. ",Fairly Gentle
14,QualityLand,https://www.amazon.co.uk/dp/1409191133?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Marc-Uwe Kling,"If algorithm has become a dirty word, imagine a near future in which all of life is ruled by one. But don't worry, because this nightmare dystopia is suffused with gorgeously biting satire about the manipulation of history and personal data profiles, and you always know that the rebel human will emerge triumphant. Orwell for iGeneration+.",Fairly Gentle
15,Adios Muchachos,https://www.amazon.co.uk/dp/1852428295?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Daniel Chavarria,"Sex, death and cross-dressing combine in this blackly funny farce.  An irresistible heroine takes on an amoral world and you will find yourself cheering her on. 




",Fairly Gentle
16,The Floating Book,https://www.amazon.co.uk/dp/B00I632222?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,M R Lovric,"A sensuous story of the personal and business tribulations of a German trying to introduce printing to fifteenth century Venice, and of his Venetian wife.  They have to deal with the full range of human types, all of whom seem to be unconsciously influenced by the life and poems of Catullus - the poet at the centre of the printer's efforts.  All of the senses are conjured up in the descriptions of life in Venice.  The prejudices, fears, habits of those who are Venetian as well as of the outsiders comes over clearly.




",Fairly Gentle
17,Jizzen,https://www.amazon.co.uk/dp/0330369156?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Kathleen Jamie,"'Jizzen' is old Scots for childbed.  This is an amazing exploration of childbirth - deeply personal and lyrical, yet full of knowing humour and disturbing references to old folklore.  If you've been through it, you'll recognise loads; if you haven't, this will give you a taste of the complicated emotions involved.


",Fairly Gentle
18,The Immigrant,https://www.amazon.co.uk/dp/0571244076?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Manju Kapur,"An arranged marriage and an immigration from India to Canada; this is a tale of isolation and longing.  It chronicles the assimilation and adjustment of moving from one culture to another, and the intimate insecurities of marital life. I found it sympathetic to the anxieties and tensions of the newly-wed couple, with some welcome light-hearted moments.  A good read to take on holiday - but I wouldn't recommend that you take it on honeymoon!",Fairly Gentle
19,French Exit,https://www.amazon.co.uk/dp/1526601192?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Patrick deWitt,"French Exit (aka ‘ghosting’) is a term for leaving a social situation without saying goodbye to the hosts - a particularly apt title for this novel about New Yorker socialites (a dysfunctional mother and son relationship) decamping to Paris after being declared bankrupt. This old fashioned tragicomedy of manners, with its absurdist plot and cast of stock farce dramatis personae, is a must for lovers of social satire like myself.",Fairly Gentle
20,"Kim Jiyoung, Born 1982",https://www.amazon.co.uk/dp/1471184285?tag=whichbooknet-21&linkCode=osi&th=1&psc=1, Cho Nam-Joo,"Infuriating at times, this life story is written in a sort of mix of non-fiction and fiction. It made me realise how lucky I am to live in a country where in this time and age, circumstances for being a working, independent woman are a lot better than those in Korea, only ten or twenty years ago. An eye-opener, and I really feel for Jiyoung and her peers.",Fairly Gentle
21,The High Spaces,https://www.amazon.co.uk/dp/B00WWUW716?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Fiona McFarlane,"I loved this collection of short stories, many set in Australia but others in England and other parts of the world. They have a touch of cunning wickedness which I find attractive, though they could be unsettling. So good, I bought them as a gift for someone else.",Fairly Gentle
22,Chasing Angels,https://www.amazon.co.uk/dp/B008R6AJGE?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Meg Henderson,"Not exactly rags to riches - more rags to tartan.  Kathy Kelly is born in the 1950s in Glasgow, her family is poor and her father drinks what money there is.  She survives and escapes to create a life of her own.  I found this tale of hardship over the top but Kathy becomes a more mature character as the story progresses and she comes to terms with the past.


",Fairly Gentle
23,Daughters,https://www.amazon.co.uk/dp/1852427787?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Paule Marshall,"These are people and places which stay with you after you have finished the book.  The descriptions of life in the Caribbean, past and present, are especially riveting.
",Fairly Gentle
24,Flirting at the Funeral,https://www.amazon.co.uk/dp/B01HC1QM1A?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Chris Keil,"A serious yet entertaining book where the past reverberates against the present, with themes of personal and political loyalty and grudging compromises. This is a powerful, raging novel with a distinctive style and unusual use of dialogue where the characters answer questions that weren’t asked and ignore the ones that were. Full of tragi-comic interaction that inspires an intense reaction from the reader.",Fairly Gentle
0,Beyond the Blossoming Fields,https://www.amazon.co.uk/dp/1846880785?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Junichi Watanabe,"In late 18th century Japan, a young divorced woman struggles to become a doctor.  The central theme of the story is her personal growth as she overcomes the barriers of traditional beliefs and assumptions in a male-dominated society, while battling against poverty and ill-health. Written in simple prose and easy vocabulary, the political, cultural and academic atmosphere of Japan is well drawn.  An enjoyable and uplifting read.",A little Gentle
1,Moss Witch and Other Stories,https://www.amazon.co.uk/dp/1905583427?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Sara Maitland,"A ground-breaking collection of short stories evolving through conversations with scientists. Each one is a fusion of narrative and science. I found them a stimulating mix of natural history, geology, physics, medicine and astronomy with contemporary fiction, myth and folklore. The scientists complement each story with a scientific analysis including their reactions to the author's creative interpretations. Will appeal to the curious reader.",A little Gentle
2,Oystercatchers,https://www.amazon.co.uk/dp/0007190263?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Susan Fletcher,"At the bedside of her sister Amy who is in a coma after a tragic accident, Moira recounts her life which has been profoundly affected by the intense jealousy she has felt for Amy since she was born.  A dark compelling tale, not a cosy read, with a central theme of sibling jealousy, told in lyrical prose in both first and third person.  You may struggle to feel any sympathy for Moira's character who comes across as a cold, bitter, self-centred person who has been a poor daughter and a deceitful wife; my dislike for her intensified as the book progressed!  The sea is a constant presence in the story and I loved the many and varied descriptions of the Welsh and Norfolk coasts, at times so vivid that you can almost smell and taste the salty air. The ending came too soon, and left me wanting more!",A little Gentle
3,Primeval and Other Times,https://www.amazon.co.uk/dp/8086264351?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Olga Tokarczuk,"This story scoops you up and rushes you along on a journey through the twentieth century in eastern Europe.  The village of Primeval is imaginary, so are its inhabitants and its petty and vengeful God, but they are also archetypes which force you to look again at the long sweep of history.",A little Gentle
4,Canvey Island,https://www.amazon.co.uk/dp/0747585830?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,James Runcie,"On a stormy night in 1953, the lives of a family change forever.  Don't expect a six hankies, happy ever after story: this is a truthful exploration of love, loss and compromise.",A little Gentle
5,The Explosion Chronicles,https://www.amazon.co.uk/dp/B01GH07CFM?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Yan Lianke,"The village of Explosion grows into a town, then a city then a megalopolis. This book skims over the first thousand years of history to concentrate on the last forty years and the crucial role of three families in this transformation. It is a parody of Communist rule which clearly applies to China as a whole as ambition greed and corruption combine to force change. ",A little Gentle
6,Changes,https://www.amazon.co.uk/dp/1558610650?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Ama Ata Aidoo,"A beautifully written, liberating novel of contemporary African womanhood - not to be missed.<br />
",A little Gentle
7,Something Rising (light and swift),https://www.amazon.co.uk/dp/B01LPE3J84?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Haven Kimmel,"A novel of small town mid-Western America with a pool-playing heroine who has to develop a tough character in order to be strong for her mother and sister, both damaged in their different ways.  The first three quarters of the book slowly unfolds, with discursive descriptions of incidental characters and events building an atmospheric picture of Cassie's life.  The pace changes in the last part of the book as she seeks to find redemption in New Orleans and confront the past.",A little Gentle
8,A Guide to the Perplexed,https://www.amazon.co.uk/dp/1852428260?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Gilad Atzmon,"This guide, if you are already perplexed, will thicken the mist.  A raunchy life story, a very controversial view of Israeli politics and a look at the ridiculous in academia - this tale wizzes through it all.  Expect some laugh out loud bits that you will not want to read in a public place.






",A little Gentle
9,An Obedient Father,https://www.amazon.co.uk/dp/0571313590?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Akhil Sharma,"The main character arouses such a wide range of emotions and reactions, especially after the family secret is revealed. Should he be hated or pitied? Whatever your view, this is a compulsive, but sometimes uncomfortable read.
",A little Gentle
10,Palm Beach Finland,https://www.amazon.co.uk/dp/B07DFQ2DVK?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Antti Tuomainen,"A dead body, an ace detective, a key suspect - the essential components of Nordic crime are present, but this story really plays around with the genre.  Palm Beach Finland has to be one of the tackiest seaside resorts I've come across, however beyond the gaudy beach huts and plastic palm trees the real Finland is there. Told from the perspective of an eclectic cast of characters, this is a mystery which doesn't take itself too seriously.   ",A little Gentle
11,Waltzing the Cat,https://www.amazon.co.uk/dp/B01K3FWK5E?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Pam Houston,"From the moment her father tossed her - aged two -into the New Jersey surf, Lucy O'Rouke has had an instinct for survival.  Just as well, as her work as a photographer and her tireless search for an emotionally perfect and available man brings her face to face with all manner of dangers.  Lyrical writing - full of deadpan humour and feminine insight.

",A little Gentle
12,Lucky Dog,https://www.amazon.co.uk/dp/0747267995?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Mark Barrowcliffe,"This is one of the funniest books I've read in years.  The world of humans viewed from a dog's point of view is a revelation.  That coupled with the concept of a poker playing and losing, but honest estate agent make for a hilarious read but one not without moments of pathos.  I don't know where Mark Barrowcliffe gets his ideas from but I hope he keeps on getting them. 
",A little Gentle
13,The Saving Graces,https://www.amazon.co.uk/dp/0743468279?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Patricia Gaffney,"The friendship that four women have sees them through some real dramas.  And I do mean serious problems.  Get out your boxes of chocolates (and tissues) and look forward to a really good wallow!

",A little Gentle
14,Motherhood,https://www.amazon.co.uk/dp/0099592843?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Sheila Heti,"Our unnamed heroine, a writer but more a thinker, endlessly contemplates the pros and cons of becoming a mother. Her musings cover the lives of her own mother and her maternal grandmother. Narrated in a continual monologue -  a style I really enjoyed - however, don't expect much action or even a decision! Thought provoking and unusual. ",A little Gentle
15,The Wallcreeper,https://www.amazon.co.uk/dp/0008130884?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Nell Zink,"Spouses Tiffany and Stephen move fluidly from one project to another in a carefree manner. Tiffany joins Stephen’s ornithological pursuits, with both characters as free in spirit as the birds they chase. Against the backdrop of saving the natural world and extramarital affairs, Tiffany and Stephen aren’t as two-dimensional as they first appear. It took a while to discover what motivated them - but when I had, I could truly engage with them.   ",A little Gentle
16,Breathing on Glass,https://www.amazon.co.uk/dp/0349000085?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Jennifer Cryer,"Amber, Rhea and Lewis occupy the three sides of a complex love triangle in this cautionary tale of longing and betrayal. At its core lies Rhea and Lewis's quest to develop the perfect stem cell, whilst Amber undergoes fertility treatment to satisfy her longing for a baby. With lab coats and test tubes at the ready, join this thrilling journey where science has the power to make dreams come true. And to destroy them. ",A little Gentle
